SKU;QUALITY;NAME;COLOR;COMPOSITION;LOT;WIDTH;LENGTH;SIZE;@BARCODE;BARCODE CLIENT;REF
6484-5;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;120;170;120x170;3701448239409;5903039449152;6484-CIR-5
"6484-11

";cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;60;120;60x120;3701448239416;5903039449169;6484-CIR-11
6484-11;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;80;150;80x150;3701448239423;5903039449176;6484-CIR-11
"6484-11

";cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;100;150;100x150;3701448239430;5903039449183;6484-CIR-11
6484-11;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;120;170;120x170;3701448239447;5903039449190;6484-CIR-11
6765-13;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;60;120;60x120;3701448239454;5903039449206;6765-CIR-13
6765-13;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;80;150;80x150;3701448239461;5903039449213;6765-CIR-13
6765-13;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;100;150;100x150;3701448239478;5903039449220;6765-CIR-13
6765-13;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;120;170;120x170;3701448239485;5903039449237;6765-CIR-13
6765-8;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;60;120;60x120;3701448239492;5903039449244;6765-CIR-8
6765-8;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;80;150;80x150;3701448239508;5903039449251;6765-CIR-8
6765-8;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;100;150;100x150;3701448239515;5903039449268;6765-CIR-8
6765-8;cir;COSIMA;MULTICOULEUR;100% Polypropylène;21001345;120;170;120x170;3701448239522;5903039449275;6765-CIR-8
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
